1398,1398,1398,1398,1398,15,1,16,13138,85,13223,443,49789
1205,1398,276,1398,1231,22,1,23,20938,453,21391,443,49794
276,1398,1231,1398,1398,20,1,21,18757,53,18810,443,49804
788,1398,1398,1398,1398,2,13,15,2186,17228,19414,80,49807
552,1398,1398,1398,1398,2,67,69,1950,92514,94464,80,49812
663,254,662,212,624,2,1,3,917,662,1579,80,49808
649,253,624,267,553,2,1,3,902,624,1526,80,49809
648,253,624,220,623,2,1,3,901,624,1525,80,49810
649,212,626,219,621,2,1,3,861,626,1487,80,49811
622,267,612,213,581,2,1,3,889,612,1501,80,49814
1360,473,555,954,346,14,2,16,10533,1706,12239,443,49833
437,357,181,69,69,12,1,13,6218,69,6287,443,49831
1398,47,1398,639,549,13,3,16,9713,1273,10986,443,49832
421,917,181,69,69,12,1,13,6762,69,6831,443,49835
69,293,1410,643,53,11,3,14,4828,749,5577,443,49839
1398,1398,441,1012,1012,16,5,21,9957,4759,14716,443,49840
1398,1398,857,1398,1398,13,4,17,10759,3316,14075,443,49841
45,45,306,146,61,11,2,13,5360,207,5567,443,49844
1077,1398,1398,1398,1398,78,1,79,100016,1398,101414,443,49848
1109,1398,1398,1398,1398,17,1,18,13757,85,13842,443,49849
276,1398,1231,1398,1398,20,1,21,20003,53,20056,443,49843
80,413,397,88,12,8,1,9,1772,88,1860,443,49837
485,1205,677,1398,351,11,3,14,5958,2346,8304,443,49853
276,229,69,53,53,11,1,12,4900,53,4953,443,49852
421,1045,1398,1398,1398,21,1,22,18189,53,18242,443,49854
389,1398,1398,1398,1398,28,1,29,28167,85,28252,443,49859
69,389,1410,643,53,11,3,14,4924,749,5673,443,49860
1398,1398,1398,1398,1398,25,1,26,26033,85,26118,443,49861
312,1398,1398,1398,1398,2,183,185,1710,253898,255608,80,49867
300,1398,1398,1398,1398,2,15,17,1698,18778,20476,80,49869
302,1398,1262,302,1398,2,2,4,1700,1564,3264,80,49870
303,1398,1372,303,1398,2,2,4,1701,1675,3376,80,49872
302,1398,1234,302,1398,2,2,4,1700,1536,3236,80,49871
346,1360,482,543,954,14,2,16,7411,369,7780,443,49862
307,1398,1398,1398,1398,2,10,12,1705,12815,14520,80,49876
309,1398,1398,1398,1398,2,10,12,1707,11573,13280,80,49880
309,1398,1398,1398,1398,2,9,11,1707,11493,13200,80,49882
309,1398,1398,1398,1398,2,13,15,1707,15849,17556,80,49881
304,1398,1398,1230,304,2,3,5,1702,2932,4634,80,49885
304,1398,1398,669,304,2,3,5,1702,2371,4073,80,49887
671,1398,1398,1398,1107,24,1,25,25759,85,25844,443,49310
279,1360,185,1105,1189,12,2,14,6522,382,6904,443,49311
1398,1398,1398,1398,311,29,1,30,32958,1398,34356,443,49314
671,1398,1398,1398,1398,29,1,30,31673,85,31758,443,49317
901,533,293,901,533,11,1,12,5769,901,6670,443,49315
901,533,309,901,533,11,1,12,5785,901,6686,443,49316
1221,789,557,37,37,11,2,13,6366,74,6440,443,49321
901,533,309,85,85,11,1,12,5817,85,5902,443,49329
1125,85,437,165,53,14,2,16,9240,218,9458,443,49322
1125,85,437,165,53,14,2,16,9240,218,9458,443,49323
1125,85,437,165,53,13,2,15,8469,218,8687,443,49324
